species_name,latitude_centroid_from_roll_et_al_2017,insular_endemic,maximum_svl,female_svl,activity_time,smallest_clutch,largest_clutch
Crotaphytus_dickersonae,29.07,no,116,80,Diurnal,3,7
Crotaphytus_grismeri,32.31,no,99,82.5,Diurnal,3,3
Crotaphytus_insularis,29.25,yes,121,94.5,Diurnal,2,8
Crotaphytus_nebrius,30.55,no,112,NA,Diurnal,5,12
Crotaphytus_reticulatus,27.46,no,137,101.5,Diurnal,4,11
Crotaphytus_vestigium,30.14,no,127,81.9,Diurnal,2,8
Cryptactites_peringueyi,-33.95,no,28.3,NA,Nocturnal,2,2
Cryptagama_aurita,-18.65,no,46,NA,Diurnal,NA,NA
Cryptoblepharus_adamsi,-18.76,no,37.3,NA,Diurnal,NA,NA
Cryptoblepharus_africanus,-13.55,no,50.4,NA,Diurnal,1,2
Cryptoblepharus_ahli,-15.04,yes,50.7,NA,NA,NA,NA
Cryptoblepharus_aldabrae,-9.43,yes,45.6,NA,Diurnal,NA,NA
Cryptoblepharus_ater,-11.66,yes,48.2,NA,NA,NA,NA
Cryptoblepharus_australis,-27.42,no,46.2,39.3,Diurnal,1,2
Cryptoblepharus_balinensis,-7.5,yes,50,NA,Diurnal,NA,NA
Cryptoblepharus_bitaeniatus,-22.34,yes,45,NA,Diurnal,2,2
Cryptoblepharus_boutonii,-20.29,yes,42,NA,Diurnal,1,2
Cryptoblepharus_buchananii,-27.9,no,49.3,42.2,Diurnal,2,3
Cryptoblepharus_burdeni,-8.57,yes,50,42.5,Diurnal,1,1
Cryptoblepharus_caudatus,-17.06,yes,50,NA,Diurnal,NA,NA
Cryptoblepharus_cognatus,-13.28,yes,52,NA,Diurnal,NA,NA
Cryptoblepharus_cursor,-8.46,yes,43,31.9,Diurnal,NA,NA
Cryptoblepharus_cygnatus,-12.63,no,44.6,NA,Diurnal,1,2
Cryptoblepharus_daedalos,-16.04,no,40.8,NA,Diurnal,NA,NA
Cryptoblepharus_egeriae,-10.47,yes,52,NA,Diurnal,2,2
Cryptoblepharus_eximius,-17.36,yes,40.3,35.9,Diurnal,1,2
Cryptoblepharus_exochus,-15.21,no,40.9,NA,Diurnal,NA,NA
Cryptoblepharus_fuhni,-14.45,no,47,NA,Diurnal,NA,NA
Cryptoblepharus_furvus,-9.99,yes,47,44,Diurnal,NA,NA
Cryptoblepharus_gloriosus,-12.6,yes,43.7,NA,NA,NA,NA
Cryptoblepharus_gurrmul,-11.49,yes,44.3,37.8,Diurnal,NA,NA
Cryptoblepharus_juno,-15.95,no,43.1,36.7,Diurnal,NA,NA
Cryptoblepharus_keiensis,-5.65,yes,42.7,NA,NA,NA,NA
Cryptoblepharus_leschenault,-8.86,yes,43.9,NA,Diurnal,NA,NA
Cryptoblepharus_litoralis,-19.05,no,55,44,Diurnal,1,2
Cryptoblepharus_megastictus,-15.62,no,40.5,NA,Diurnal,2,2
Cryptoblepharus_mertensi,-14.79,no,38.5,35.3,Diurnal,NA,NA
Cryptoblepharus_metallicus,-18.36,no,47.9,NA,Diurnal,2,2
Cryptoblepharus_nigropunctatus,26.85,yes,55,49,Diurnal,1,2
Cryptoblepharus_novaeguineae,-5.02,yes,42,37.3,Diurnal,NA,NA
Cryptoblepharus_novocaledonicus,-21.37,yes,43,NA,Diurnal,1,2
Cryptoblepharus_novohebridicus,-16.42,yes,37,35,NA,1,2
Cryptoblepharus_ochrus,-28.44,no,43.8,38.7,Diurnal,NA,NA
Cryptoblepharus_pannosus,-26.47,no,41.5,NA,Diurnal,NA,NA
Cryptoblepharus_plagiocephalus,-27.21,no,47,38.9,Diurnal,1,2
Cryptoblepharus_poecilopleurus,-8.37,yes,52,41.1,Diurnal,1,2
Cryptoblepharus_pulcher,-28.18,no,41.7,NA,Diurnal,1,2
Cryptoblepharus_quinquetaeniatus,-12.22,yes,43.5,43.3,NA,NA,NA
Cryptoblepharus_renschi,-9.21,yes,50,NA,Diurnal,1,2
Cryptoblepharus_richardsi,-10.67,yes,43.1,NA,NA,NA,NA
Cryptoblepharus_ruber,-16.67,no,47.2,42.6,Diurnal,2,2
Cryptoblepharus_rutilus,7.44,yes,38,36,NA,NA,NA
Cryptoblepharus_schlegelianus,-9.69,yes,40.3,NA,NA,NA,NA
Cryptoblepharus_tytthos,-17.65,no,38.6,32.3,Diurnal,NA,NA
Cryptoblepharus_ustulatus,-22.09,no,41.6,36.8,Diurnal,NA,NA
Cryptoblepharus_virgatus,-14.95,no,41,38.4,Diurnal,1,2
Cryptoblepharus_voeltzkowi,-24.21,yes,43,NA,NA,NA,NA
Cryptoblepharus_wulbu,-12.05,no,39,35.7,Diurnal,NA,NA
Cryptoblepharus_xenikos,-8.22,yes,38,37.9,NA,NA,NA
Cryptoblepharus_yulensis,-9.41,yes,41.9,NA,NA,NA,NA
Cryptoblepharus_zoticus,-17.02,no,38.7,35.3,Diurnal,NA,NA
Ctenoblepharys_adspersa,-13.67,no,75,62,Diurnal,NA,NA
Ctenophorus_adelaidensis,-30.53,no,53,46,Diurnal,2,5
Ctenophorus_butleri,-26.89,no,45,NA,Diurnal,2,3
Ctenophorus_caudicinctus,-23.4,no,105,61.5,Diurnal,2,8
Ctenophorus_chapmani,-32.68,no,52,45.5,Diurnal,NA,NA
Ctenophorus_clayi,-24.68,no,58,50,Diurnal,1,4
Ctenophorus_cristatus,-30.68,no,112,94.3,Diurnal,2,9
Ctenophorus_decresii,-32.74,no,90,71.5,Diurnal,2,10
Ctenophorus_femoralis,-23.13,no,57,45.8,Diurnal,2,3
Ctenophorus_fionni,-32.18,no,96,65.2,Diurnal,4,5
Ctenophorus_fordi,-30.76,no,58,51.8,Diurnal,1,5
Ctenophorus_gibba,-28.88,no,96,70.1,Diurnal,NA,NA
Ctenophorus_isolepis,-23.91,no,83,58.1,Diurnal,1,6
Ctenophorus_maculatus,-30.51,no,67,54.4,Diurnal,2,5
Ctenophorus_maculosus,-29.67,no,70,59.3,Diurnal,1,5
Ctenophorus_mckenziei,-31.75,no,77,73.2,Diurnal,NA,NA
Ctenophorus_mirrityana,-31.3,no,90.7,71.6,Diurnal,NA,NA
Ctenophorus_nguyarna,-23.4,no,78.4,56.3,Diurnal,1,4
Ctenophorus_nuchalis,-24.49,no,127,82.8,Diurnal,2,6
Ctenophorus_ornatus,-31.63,no,95,79.8,Diurnal,2,6
Ctenophorus_parviceps,-24.76,no,52,44.6,Diurnal,2,3
Ctenophorus_pictus,-29.49,no,74.9,57.8,Diurnal,2,8
Ctenophorus_reticulatus,-27.35,no,108,71.7,Diurnal,2,8
Ctenophorus_rubens,-23.32,no,80,NA,Diurnal,NA,NA
Ctenophorus_rufescens,-26.36,no,97,69.5,NA,NA,NA
Ctenophorus_salinarum,-30.22,no,77.9,57.7,Diurnal,3,4
Ctenophorus_scutulatus,-28.22,no,115,86.4,Diurnal,3,10
Ctenophorus_tjantjalka,-27.77,no,75,63.7,Diurnal,NA,NA
Ctenophorus_vadnappa,-30.54,no,90,66.4,Diurnal,3,7
Ctenophorus_yinnietharra,-24.4,no,87,NA,Diurnal,NA,NA
Ctenosaura_acanthura,19.53,no,450,NA,Diurnal,17,28
Ctenosaura_bakeri,16.1,yes,315,192.6,Diurnal,5,15
Ctenosaura_clarki,18.65,no,250,135,Diurnal,7,7
Ctenosaura_conspicuosa,28.7,yes,304,NA,Diurnal,NA,NA
Ctenosaura_flavidorsalis,13.94,no,185,128.7,NA,6,13
Ctenosaura_hemilopha,27.82,no,400,173,Diurnal,24,24
Ctenosaura_macrolopha,27.49,no,212,152.5,Diurnal,9,12
Ctenosaura_melanosterna,15.42,no,322,201.6,Diurnal,7,50
Ctenosaura_nolascensis,27.97,yes,285,NA,Diurnal,NA,NA
Ctenosaura_oaxacana,16.27,no,170,NA,Diurnal,NA,NA
Ctenosaura_oedirhina,16.37,yes,315,201.8,Diurnal,4,7
Ctenosaura_palearis,14.95,no,310,175,Diurnal,6,12
Ctenosaura_pectinata,19.73,no,397,279.6,Diurnal,11,50
Ctenosaura_quinquecarinata,12.93,no,200,127,Diurnal,5,15
Ctenosaura_similis,14.76,no,490,305,Diurnal,12,88
Ctenotus_agrestis,-22.58,no,75,NA,NA,NA,NA
Ctenotus_alacer,-21.85,no,67.4,60,NA,2,2
Ctenotus_alleni,-27.3,no,93,89,NA,2,2
Ctenotus_allotropis,-29.97,no,55,NA,Diurnal,NA,NA
Ctenotus_angusticeps,-18.25,no,74,NA,NA,NA,NA
Ctenotus_aphrodite,-23.77,no,72,NA,NA,NA,NA
Ctenotus_arcanus,-26.73,no,90,NA,Diurnal,NA,NA
Ctenotus_ariadnae,-24.64,no,64.3,64.3,Diurnal,3,5
Ctenotus_arnhemensis,-12.86,no,55.1,52.3,NA,3,4
Ctenotus_astarte,-24.36,no,82,NA,NA,NA,NA
Ctenotus_astictus,-13.73,no,51.9,NA,NA,NA,NA
Ctenotus_atlas,-30.09,no,75,70,Diurnal,1,2
Ctenotus_australis,-29.29,no,110,NA,Diurnal,NA,NA
Ctenotus_borealis,-13.72,no,121,NA,Diurnal,NA,NA
Ctenotus_brevipes,-16.44,no,60,NA,Diurnal,2,3
Ctenotus_brooksi,-27.12,no,57,46.3,Diurnal,1,3
Ctenotus_burbidgei,-15.87,no,58,NA,NA,NA,NA
Ctenotus_calurus,-24.32,no,50,47,Diurnal,1,4
Ctenotus_capricorni,-24.07,no,65,NA,NA,NA,NA
Ctenotus_catenifer,-33.27,no,58,NA,NA,NA,NA
Ctenotus_coggeri,-12.56,no,87,87,Cathemeral,3,3
Ctenotus_colletti,-18.65,no,45,41.8,Diurnal,2,4
Ctenotus_decaneurus,-15.29,no,54.5,NA,Diurnal,NA,NA
Ctenotus_delli,-32.25,no,63,NA,Diurnal,NA,NA
Ctenotus_duricola,-21.78,no,59,NA,Diurnal,NA,NA
Ctenotus_dux,-25.25,no,66.5,66.5,Diurnal,2,3
Ctenotus_ehmanni,-15.58,no,41,NA,NA,NA,NA
Ctenotus_essingtonii,-13.54,no,73,60.2,Diurnal,1,4
Ctenotus_euclae,-32.11,no,50,NA,Diurnal,NA,NA
Ctenotus_eurydice,-28.83,no,76.6,NA,Diurnal,NA,NA
Ctenotus_eutaenius,-19.1,no,90,NA,Diurnal,NA,NA
Ctenotus_gagudju,-12.77,no,54,51,NA,1,3
Ctenotus_gemmula,-33.01,no,60,56,Diurnal,2,2
Ctenotus_grandis,-23.46,no,122,99.5,Diurnal,4,4
Ctenotus_greeri,-24.8,no,65,NA,NA,NA,NA
Ctenotus_halysis,-16.25,no,58.5,NA,Diurnal,NA,NA
Ctenotus_hanloni,-24.46,no,73.3,71.4,NA,3,4
Ctenotus_hebetior,-21.21,no,60,NA,Diurnal,4,4
Ctenotus_hilli,-12.5,no,50,NA,Diurnal,NA,NA
Ctenotus_iapetus,-23.37,no,68,NA,NA,NA,NA
Ctenotus_impar,-31.81,no,66,52.2,Diurnal,2,2
Ctenotus_ingrami,-25.16,no,84,NA,Diurnal,NA,NA
Ctenotus_inornatus,-23.33,no,95,NA,Diurnal,NA,NA
Ctenotus_joanae,-20.9,no,86,NA,NA,NA,NA
Ctenotus_kurnbudj,-12.84,no,56,56,NA,3,3
Ctenotus_labillardieri,-33.53,no,76,67.7,Diurnal,2,5
Ctenotus_lancelini,-31.01,no,87,79,Diurnal,2,5
Ctenotus_lateralis,-21.11,no,85,NA,NA,NA,NA
Ctenotus_leae,-28.3,no,62,61,Diurnal,2,4
Ctenotus_leonhardii,-25.32,no,79,71.5,Diurnal,1,7
Ctenotus_maryani,-22.72,no,55,NA,NA,NA,NA
Ctenotus_mastigura,-14.84,no,88,NA,NA,NA,NA
Ctenotus_mesotes,-14.25,no,41.5,NA,NA,NA,NA
Ctenotus_militaris,-16.04,no,65,NA,NA,NA,NA
Ctenotus_mimetes,-28.1,no,82,80,Diurnal,6,6
Ctenotus_monticola,-16.87,no,65,NA,NA,NA,NA
Ctenotus_nasutus,-25.75,no,46,44.2,Diurnal,1,4
Ctenotus_nigrilineatus,-22.15,no,49,NA,NA,NA,NA
Ctenotus_nullum,-15.42,no,79,NA,Diurnal,NA,NA
Ctenotus_olympicus,-30.04,no,75,NA,NA,NA,NA
Ctenotus_ora,-33.06,no,60,NA,NA,NA,NA
Ctenotus_orientalis,-33.03,no,82,NA,Diurnal,NA,NA
Ctenotus_pallasotus,-22.22,no,65,56,Diurnal,NA,NA
Ctenotus_pallescens,-18.15,no,45,NA,NA,3,3
Ctenotus_pantherinus,-23.88,no,126,80.5,Cathemeral,3,11
Ctenotus_piankai,-24.54,no,60,52.4,Diurnal,1,5
Ctenotus_pulchellus,-21.97,no,85,NA,Diurnal,NA,NA
Ctenotus_quattuordecimlineatus,-23.44,no,71,61.1,Diurnal,2,4
Ctenotus_quinkan,-15.37,no,81,NA,Diurnal,NA,NA
Ctenotus_quirinus,-15.07,no,64.9,48.1,NA,NA,NA
Ctenotus_rawlinsoni,-15.48,no,80,NA,NA,NA,NA
Ctenotus_regius,-28.47,no,83,60,Diurnal,1,4
Ctenotus_rhabdotus,-18.57,no,61,51,Diurnal,NA,NA
Ctenotus_rimacolus,-16.17,no,95,NA,NA,NA,NA
Ctenotus_robustus,-25.36,no,125,98.6,Diurnal,3,9
Ctenotus_rosarium,-21.85,no,43.8,NA,Diurnal,NA,NA
Ctenotus_rubicundus,-22.92,no,101,NA,NA,NA,NA
Ctenotus_rufescens,-21.8,no,45,NA,NA,2,2
Ctenotus_rutilans,-22.82,no,53,NA,NA,NA,NA
Ctenotus_schevilli,-22.14,no,85,NA,NA,NA,NA
Ctenotus_schomburgkii,-27.06,no,57,43.5,Diurnal,1,4
Ctenotus_septenarius,-25.76,no,72,NA,Diurnal,4,4
Ctenotus_serotinus,-23.55,no,50,NA,NA,NA,NA
Ctenotus_serventyi,-19.94,no,57,NA,NA,NA,NA
Ctenotus_spaldingi,-21.57,no,105,NA,Diurnal,5,5
Ctenotus_storri,-13.97,no,40,39.3,Diurnal,2,2
Ctenotus_strauchii,-26.26,no,63,NA,Diurnal,1,3
Ctenotus_striaticeps,-17.68,no,50,NA,NA,NA,NA
Ctenotus_stuarti,-12.53,no,54,NA,NA,NA,NA
Ctenotus_superciliaris,-18.66,no,81,NA,NA,NA,NA
Ctenotus_taeniatus,-27.89,no,50,NA,Diurnal,NA,NA
Ctenotus_taeniolatus,-26.49,no,89,69.2,Diurnal,1,7
Ctenotus_tanamiensis,-21.48,no,95,NA,NA,NA,NA
Ctenotus_tantillus,-15.21,no,46.4,NA,Diurnal,NA,NA
Ctenotus_terrareginae,-19.03,no,91,NA,NA,NA,NA
Ctenotus_uber,-28.44,no,82,NA,Diurnal,2,2
Ctenotus_vagus,-16.31,no,43.9,43.8,NA,NA,NA
Ctenotus_vertebralis,-13.66,no,55,52,Diurnal,3,4
Ctenotus_xenopleura,-31.3,no,50,NA,NA,NA,NA
Ctenotus_youngsoni,-26.62,no,84,NA,NA,NA,NA
Ctenotus_zastictus,-26.51,no,60,NA,NA,NA,NA
Ctenotus_zebrilla,-18.41,no,40,NA,NA,NA,NA
Cyclodomorphus_branchialis,-28.57,no,120,91.3,Cathemeral,2,5
Cyclodomorphus_casuarinae,-41.94,yes,174,123.7,Cathemeral,2,19
Cyclodomorphus_celatus,-27.46,no,121,100.3,Nocturnal,2,5
Cyclodomorphus_gerrardii,-25.88,no,255,195,Cathemeral,1,33
Cyclodomorphus_maximus,-14.92,no,232,184,Nocturnal,2,7
Cyclodomorphus_melanops,-25.19,no,132,95.2,Cathemeral,1,4
Cyclodomorphus_michaeli,-33.73,no,174,125.3,Cathemeral,2,16
Cyclodomorphus_praealtus,-36.57,no,126,102.9,Diurnal,2,20
Cyclodomorphus_venustus,-29.33,no,101.5,86.1,Nocturnal,2,4
Cyclura_carinata,21.73,yes,510,228.6,Diurnal,2,9
Cyclura_collei,17.86,yes,428,389,Diurnal,16,20
Cyclura_cornuta,18.84,yes,640,471.5,Diurnal,5,24
Cyclura_cychlura,24.18,yes,655,336,Diurnal,1,19
Cyclura_lewisi,19.32,yes,550,NA,Diurnal,1,22
Cyclura_nubila,21.67,yes,750,352.5,Diurnal,2,30
Cyclura_pinguis,18.73,yes,560,457,Diurnal,7,20
Cyclura_ricordi,18.31,yes,485,340,Diurnal,2,24
Cyclura_rileyi,23.99,yes,395,230,Diurnal,2,10
Cyclura_stejnegeri,18.09,yes,533,NA,Diurnal,5,19
Cynisca_bifrontalis,-1.89,no,131,108.7,NA,NA,NA
Cynisca_chirioi,7.67,no,290,NA,NA,NA,NA
Cynisca_degrysi,NA,no,107,NA,NA,NA,NA
Cynisca_feae,13.84,no,168,136.9,NA,2,4
Cynisca_gansi,4.91,no,158.5,NA,NA,NA,NA
Cynisca_haugi,-1.11,no,124,NA,NA,NA,NA
Cynisca_ivoirensis,7.06,no,135,116.8,NA,NA,NA
Cynisca_kigomensis,9.79,no,170,NA,NA,NA,NA
Cynisca_kraussi,6.44,no,160,NA,NA,1,1
Cynisca_leonina,10.72,no,155,126.2,NA,2,2
Cynisca_leucura,9.7,no,258,170.4,NA,1,4
Cynisca_liberiensis,8.2,no,158,105,NA,NA,NA
Cynisca_manei,12.28,no,129,68,NA,NA,NA
Cynisca_muelleri,5.92,no,175,NA,NA,NA,NA
Cynisca_nigeriensis,8.87,no,173,NA,NA,NA,NA
Cynisca_oligopholis,11.17,no,147,115.7,NA,4,5
Cynisca_rouxae,8.35,no,124,NA,NA,NA,NA
Cynisca_schaeferi,3.98,no,197,NA,NA,NA,NA
Cynisca_senegalensis,12.62,no,167,139.8,NA,1,3
Cynisca_williamsi,7.73,no,161,NA,NA,NA,NA
Cyrtodactylus_aaroni,-2.08,yes,100.5,86.5,Nocturnal,NA,NA
Cyrtodactylus_adleri,7.06,yes,68.5,59.1,Nocturnal,NA,NA
Cyrtodactylus_adorus,-12.5,no,123,111.8,NA,NA,NA
Cyrtodactylus_aequalis,17.44,no,90.1,90.1,Nocturnal,NA,NA
Cyrtodactylus_agamensis,-0.22,yes,49.7,49.7,Nocturnal,NA,NA
Cyrtodactylus_agusanensis,8.35,yes,106,99.2,Cathemeral,2,2
Cyrtodactylus_albofasciatus,14.56,no,76.1,NA,Nocturnal,NA,NA
Cyrtodactylus_angularis,18.24,no,95,87.3,Nocturnal,2,2
Cyrtodactylus_annandalei,21.89,no,55.3,53.2,Nocturnal,NA,NA
Cyrtodactylus_annulatus,8.38,yes,80.5,67.3,Nocturnal,NA,NA
Cyrtodactylus_arcanus,-5.78,yes,92,88,NA,NA,NA
Cyrtodactylus_astrum,6.77,no,108.3,98.5,Nocturnal,NA,NA
Cyrtodactylus_aurensis,2.45,yes,99.4,95.5,Nocturnal,NA,NA
Cyrtodactylus_auribalteatus,16.68,no,98.1,98.1,Nocturnal,NA,NA
Cyrtodactylus_australotitiwangsaensis,3.25,no,120.1,98.8,Nocturnal,NA,NA
Cyrtodactylus_ayeyarwadyensis,17.99,no,78,63.2,Nocturnal,2,2
Cyrtodactylus_badenensis,11.38,no,74.1,66.4,Nocturnal,NA,NA
Cyrtodactylus_baluensis,5.05,yes,98,85.9,Nocturnal,2,3
Cyrtodactylus_bansocensis,17.45,no,74,NA,Nocturnal,NA,NA
Cyrtodactylus_batik,-0.67,yes,114.6,110.1,NA,NA,NA
Cyrtodactylus_battalensis,34.67,no,72.3,72.3,Nocturnal,2,2
Cyrtodactylus_batucolus,2.11,yes,75.2,64.6,Nocturnal,2,2
Cyrtodactylus_bichnganae,21.35,no,99.9,99.9,Nocturnal,NA,NA
Cyrtodactylus_bidoupimontis,12.13,no,86.3,82.3,Nocturnal,NA,NA
Cyrtodactylus_bintangrendah,5.22,no,114.4,103.1,Nocturnal,NA,NA
Cyrtodactylus_bintangtinggi,4.77,no,111.1,105.5,Nocturnal,2,2
Cyrtodactylus_biordinis,-9.62,yes,94,NA,Nocturnal,2,2
Cyrtodactylus_bobrovi,20.43,no,96.4,87.7,Nocturnal,NA,NA
Cyrtodactylus_boreoclivus,-2.67,yes,109,106.7,Nocturnal,2,2
Cyrtodactylus_brevidactylus,20.95,no,88,86.2,Nocturnal,NA,NA
Cyrtodactylus_brevipalmatus,13.58,no,73,72.5,Nocturnal,2,2
Cyrtodactylus_buchardi,14.77,no,65,65,Nocturnal,1,1
Cyrtodactylus_bugiamapensis,12.23,no,79,72,Nocturnal,NA,NA
Cyrtodactylus_calamei,17.57,no,89.3,89.3,Nocturnal,NA,NA
Cyrtodactylus_caovansungi,11.71,no,94,90.4,Nocturnal,NA,NA
Cyrtodactylus_capreoloides,-5.85,yes,84,79.3,Nocturnal,NA,NA
Cyrtodactylus_cattienensis,11.44,no,69,58.4,Nocturnal,1,2
Cyrtodactylus_cavernicolus,3.91,yes,81,NA,Nocturnal,NA,NA
Cyrtodactylus_celatus,-9.99,yes,44,38.4,NA,NA,NA
Cyrtodactylus_chanhomeae,14.7,no,78.8,NA,Nocturnal,NA,NA
Cyrtodactylus_chauquangensis,19.35,no,99.3,99.3,Nocturnal,NA,NA
Cyrtodactylus_chrysopylos,21.13,no,79.1,79.1,Nocturnal,NA,NA
Cyrtodactylus_collegalensis,16.12,no,55,51.3,Nocturnal,2,2
Cyrtodactylus_condorensis,9.19,no,91,81.5,Nocturnal,3,3
Cyrtodactylus_consobrinoides,16.59,no,50,NA,Nocturnal,NA,NA
Cyrtodactylus_consobrinus,3.61,no,125,119.7,Nocturnal,2,2
Cyrtodactylus_cracens,6.79,yes,105,NA,Nocturnal,NA,NA
Cyrtodactylus_cryptus,17.54,no,92.5,77.1,Nocturnal,2,2
Cyrtodactylus_cucdongensis,12.92,no,65.9,61.7,Nocturnal,NA,NA
Cyrtodactylus_cucphuongensis,20.24,no,96,NA,Nocturnal,NA,NA
Cyrtodactylus_dammathetensis,16.51,no,69.3,56.4,Nocturnal,NA,NA
Cyrtodactylus_darevskii,17.58,no,100,92.8,Nocturnal,NA,NA
Cyrtodactylus_darmandvillei,-8.59,yes,86,NA,Nocturnal,NA,NA
Cyrtodactylus_dati,12.02,no,70.1,NA,Nocturnal,NA,NA
Cyrtodactylus_dattanensis,33.68,no,62,NA,Nocturnal,1,2
Cyrtodactylus_deccanensis,16.49,no,85,NA,Nocturnal,NA,NA
Cyrtodactylus_derongo,-5.41,yes,120,108.5,NA,NA,NA
Cyrtodactylus_deveti,2.31,yes,105,NA,Nocturnal,NA,NA
Cyrtodactylus_doisuthep,18.8,no,90.5,90.5,Nocturnal,NA,NA
Cyrtodactylus_dumnuii,11.33,no,84.2,78.8,Nocturnal,NA,NA
Cyrtodactylus_durio,5.41,no,100,NA,Nocturnal,NA,NA
Cyrtodactylus_edwardtaylori,6.87,yes,95.5,94.5,Nocturnal,NA,NA
Cyrtodactylus_eisenmanae,9.81,yes,89.2,82.7,Nocturnal,NA,NA
Cyrtodactylus_elok,3.9,no,82.1,NA,Nocturnal,2,2
Cyrtodactylus_epiroticus,-8.45,yes,134,112.5,Nocturnal,NA,NA
Cyrtodactylus_equestris,-3.33,yes,139,139,NA,NA,NA
Cyrtodactylus_erythrops,19.61,no,80,NA,Cathemeral,NA,NA
Cyrtodactylus_fasciolatus,31,no,82,80,Nocturnal,NA,NA
Cyrtodactylus_feae,20.21,no,47,45,Nocturnal,NA,NA
Cyrtodactylus_fraenatus,7.24,yes,100,89.1,Nocturnal,2,3
Cyrtodactylus_fumosus,-5.8,yes,88,77.8,Nocturnal,2,2
Cyrtodactylus_gansi,21.26,no,63,62.4,Nocturnal,NA,NA
Cyrtodactylus_gialaiensis,13.73,no,62.8,56.3,Nocturnal,NA,NA
Cyrtodactylus_gordongekkoi,-8.75,yes,73,73,NA,NA,NA
Cyrtodactylus_grismeri,10.38,no,95,87.9,Nocturnal,NA,NA
Cyrtodactylus_guakanthanensis,4.76,no,82.2,82.2,Nocturnal,NA,NA
Cyrtodactylus_gubaot,10.84,yes,100.1,NA,Nocturnal,NA,NA
Cyrtodactylus_gubernatoris,26.96,no,53,NA,Nocturnal,NA,NA
Cyrtodactylus_gunungsenyumensis,3.69,no,74.7,69.9,Nocturnal,NA,NA
Cyrtodactylus_halmahericus,0.86,yes,73,NA,Nocturnal,NA,NA
Cyrtodactylus_hidupselamanya,5.06,no,102.7,92.7,Nocturnal,NA,NA
Cyrtodactylus_hikidai,3.86,yes,102.2,98.3,Nocturnal,NA,NA
Cyrtodactylus_himalayanus,30.83,no,76,NA,Nocturnal,NA,NA
Cyrtodactylus_hinnamnoensis,17.39,no,100.6,81.4,Nocturnal,NA,NA
Cyrtodactylus_hitchi,-3.66,yes,79,73.2,NA,NA,NA
Cyrtodactylus_hontreensis,9.96,yes,88.9,79.5,Nocturnal,NA,NA
Cyrtodactylus_hoskini,-12.85,no,112,100,NA,NA,NA
Cyrtodactylus_huongsonensis,25.58,no,89.8,73.4,Nocturnal,NA,NA
Cyrtodactylus_huynhi,10.97,no,79.8,62.2,Nocturnal,NA,NA
Cyrtodactylus_ingeri,5.62,yes,80.2,NA,Nocturnal,1,2
Cyrtodactylus_interdigitalis,17.15,no,80,NA,Nocturnal,1,1
Cyrtodactylus_intermedius,11.94,no,92,81.6,Nocturnal,1,2
Cyrtodactylus_inthanon,18.59,no,87.3,85.1,Nocturnal,NA,NA
Cyrtodactylus_irianjayaensis,-0.96,yes,172,150.9,NA,NA,NA
Cyrtodactylus_irregularis,12.46,no,90,80.5,Nocturnal,NA,NA
Cyrtodactylus_jaegeri,17.45,no,68.5,68.5,Nocturnal,NA,NA
Cyrtodactylus_jambangan,7.12,yes,81.5,71.1,Nocturnal,NA,NA
Cyrtodactylus_jarakensis,3.99,yes,67,67,Nocturnal,2,2
Cyrtodactylus_jarujini,18.18,no,90,NA,Nocturnal,NA,NA
Cyrtodactylus_jelawangensis,5.34,no,119.8,106.2,Nocturnal,NA,NA
Cyrtodactylus_jellesmae,-2.45,yes,79,75.5,Nocturnal,2,2
Cyrtodactylus_jeyporensis,18.67,no,60.2,NA,Cathemeral,NA,NA
Cyrtodactylus_khammouanensis,17.58,no,73,70.3,Nocturnal,NA,NA
Cyrtodactylus_khasiensis,25.98,no,90,NA,Nocturnal,2,2
Cyrtodactylus_khelangensis,18.3,no,95.3,95.3,Nocturnal,NA,NA
Cyrtodactylus_kimberleyensis,-14.28,yes,45.1,45.1,NA,1,1
Cyrtodactylus_kingsadai,12.92,no,94,93,Nocturnal,NA,NA
Cyrtodactylus_klakahensis,-8,yes,68.1,67.2,Nocturnal,NA,NA
Cyrtodactylus_klugei,-11.51,yes,143,143,Nocturnal,NA,NA
Cyrtodactylus_kunyai,17.05,no,87.9,NA,Nocturnal,NA,NA
Cyrtodactylus_laevigatus,-8.67,yes,47,43.9,Nocturnal,2,2
Cyrtodactylus_langkawiensis,6.33,yes,99.8,96.1,Nocturnal,2,2
Cyrtodactylus_lateralis,4.97,yes,96,86.5,Nocturnal,2,2
Cyrtodactylus_lawderanus,30.79,no,55,NA,Nocturnal,NA,NA
Cyrtodactylus_leegrismeri,4.8,yes,92,90,Nocturnal,2,2
Cyrtodactylus_lekaguli,7.99,no,103.5,91.3,Nocturnal,1,2
Cyrtodactylus_lenggongensis,5.11,no,103.1,88.6,Nocturnal,NA,NA
Cyrtodactylus_lenya,11.6,no,74,69.2,NA,NA,NA
Cyrtodactylus_linnoensis,16.84,no,78,76.8,Nocturnal,NA,NA
Cyrtodactylus_linnwayensis,21.22,no,101.7,98.9,Nocturnal,NA,NA
Cyrtodactylus_lomyenensis,17.76,no,71.2,68.2,Nocturnal,NA,NA
Cyrtodactylus_loriae,-9.2,yes,156,129.5,Nocturnal,NA,NA
Cyrtodactylus_louisiadensis,-9.89,yes,138,125.5,Nocturnal,1,2
Cyrtodactylus_macrotuberculatus,6.57,no,120.1,113,Nocturnal,1,2
